Topic id;Goldlabel;GPT label;Annotator 1;Annotator 2
0;Gerichtsprozess;Verkehrssicherheit;Polizeistatistik;Rechtsstaat
1;Politik International;Länderpolitik;Weltmächte;Internationale Beziehungen
2;Auto;Automarken;Automesse;Automobilbranche
3;Wirtschaft;Verkehrsunfälle;Statistik der Post;Wirtschaftsentwicklung
4;Verkehrsunfall;Verkehrsunfall;Polizeibericht;Unfall
5;?;Verkehrswesen;Verkehrsplanung;Verkehrsplanung
6;Politik Zürich;Politik;Züricher Wahlkampf;Politik
7;Lastwagenunfall;Verkehrsunfälle;Verkehrsunfall;Automobilverkehr
8;Bahnverkehr;Öffentlicher Verkehr;öffentlicher Verkehr;Öffentlicher Verkehr
9;Politik Europa;Länder;Transit;Europäisch
10;Gotthardtunnel;Politik;Alpenquerung;Gotthard Tunnel
11;Wirtschaft;Wirtschaft;führendes Unternehmen;Schweizer Luftfahrt
12;?;Verkehrsanalyse;Weiterbildung;"""Problembeschreibung"""
13;Veranstaltungen;Kanton Bern;Wochenendausflug;Kantonale Vereine
14;?;Familie;Familie;Familie
15;Fahrzeugtechnik;Elektrofahrzeuge;E-Auto;Reichweite Elektromobilität
16;Luftverkehr;Luftverkehr;Verkehr zürich;ZRH / E-Mobilität
17;Ortsplanung;Städtebauprojekt;Bebauungsplanung;Parkplatzplanung
18;Stadtverkehr;Verkehrsmittel;Verkehrsnetz;ZVV / Velo
19;Politik Schweiz;Finanzen;Haushaltsplanung;Verkehrspolitik
